review_id,source,app_name,author,rating,title,body,date,thumbs_up,version,compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_label,confidence,issue_categories
9ba93e41-5dc4-42dd-9480-044b65ea39a5,Google Play,Spotify,get2dharahan get2dharahan,5.0,,💥DHARSHAN💥,2026-02-28,0,,0.0,0.0,1.0,0.0,Neutral,1.0,General Feedback
4a733997-46a9-40fc-a817-457625055b26,Google Play,Spotify,Dima Raid,1.0,9.1.24.1739,"App funktioniert nicht richtig. Stockt ständig vor allem beim aufrufen sowie scrollen. Praktisch ist das schon über 3-5 Monate so. Spotify Support hilft nicht und verhindert aktiv das man diese kontaktieren kann. Lustigerweise noch vor kurzen ein Artikel gelesen das Spotify nur noch alles mit AI coded lässt und die ""Professionals"" überwachen. edit: App bringt ganzes Handy zum stocken. haben extreme Probleme mit Performance. Laggt durchgehend und crashed sogar.",2026-02-27,0,9.1.24.1739,-0.296,0.036,0.912,0.052,Negative,0.648,"App Crashes / Freezing, Performance / Speed, Customer Support"
e8b48f13-2edf-4e8d-b9ca-180de2040bff,Google Play,Spotify,Antonija M,1.0,9.1.24.1739,only a few ads away from going thrifting cds,2026-02-27,2,9.1.24.1739,0.0,0.0,1.0,0.0,Neutral,1.0,General Feedback
f102898c-58f6-40f8-b680-6c53ddfd97f0,Google Play,Spotify,Ashik Anandhuz,2.0,9.0.88.1401,skip the premium payment immediately 😡,2026-02-26,3,9.0.88.1401,0.0,0.0,1.0,0.0,Neutral,1.0,Subscription / Pricing
4a36de04-8026-4924-943f-3d66aab65d04,Google Play,Spotify,Amani Iman Zamcida,5.0,9.1.22.1630,I enjoy this app! I can listen to music anytime!,2026-02-26,1,9.1.22.1630,0.5837,0.275,0.725,0.0,Positive,0.7918,Audio / Playback Issues
e0e84545-25b2-4560-be1f-3396b9ee6499,Google Play,Spotify,Rajdeep Singh,5.0,9.1.24.1739,Excellent,2026-02-26,0,9.1.24.1739,0.5719,0.787,0.213,0.0,Positive,0.7859,General Feedback
cabe20e3-384e-4f32-91ca-7082feb0885c,Google Play,Spotify,Alex B,5.0,9.1.24.1739,Even the free version is better than other paid music streaming apps! will always be my go to💪,2026-02-26,1,9.1.24.1739,0.7574,0.276,0.724,0.0,Positive,0.8787,"Audio / Playback Issues, Subscription / Pricing"
5710d2a6-1266-4fcf-9ceb-39b65ee1649c,Google Play,Spotify,Christian,5.0,9.1.24.1739,it a must get so good,2026-02-26,1,9.1.24.1739,0.5777,0.384,0.616,0.0,Positive,0.7889,General Feedback
64040e93-df2b-409d-8b8b-15c23efbdbed,Google Play,Spotify,Pratik Sonawane,1.0,9.1.24.1739,"It's not affordable any more, they Spotify family was soon good and price too, but not any more now, you tube premium is good option, I don't know why Spotify invest so much money on advertisement, they don't need advertisement everyone know about Spotify, more than that stop advertisement and reduce the premium",2026-02-26,4,9.1.24.1739,0.3827,0.097,0.85,0.053,Positive,0.6914,"Subscription / Pricing, Feature Requests"
bb6d50fa-5235-4a49-9fda-cc20e04381c6,Google Play,Spotify,Erin Franklin,4.0,9.1.26.2279,"It's alright, I have noticed it has recently been rather finicky and I would like it if we could create playlists from the app.",2026-02-26,0,9.1.26.2279,0.6808,0.231,0.769,0.0,Positive,0.8404,"Audio / Playback Issues, Search Functionality"
c28b40bd-2526-4f8e-9cd1-0e32c2921c13,Google Play,Spotify,Natanael Oktavianto,1.0,9.1.24.1739,Why can't Spotify skip songs and go to the next song right now even though I premium user,2026-02-26,0,9.1.24.1739,0.0,0.0,1.0,0.0,Neutral,1.0,Subscription / Pricing
3584fa2b-9ed3-403f-9027-ec4fd4a20c62,Google Play,Spotify,Melvin Ambrocio,5.0,9.1.24.1739,very nice,2026-02-26,0,9.1.24.1739,0.4754,0.607,0.393,0.0,Positive,0.7377,General Feedback
fc64e72d-cbca-4fb2-9067-fb41202e1795,Google Play,Spotify,vicente maldonado,2.0,9.1.24.1739,"It's a good app but sometimes it glitches and it's kinda annoying from time to time I can't play my liked songs album I click something it will literally just stop playing all together and malfunction and some other small bugs dj x freezes the app when you press him or type something for request cycles the same music all the time like there isn't like 500 billion songs out there and I was told to delete my app and reinstall, and that only fixes him for like a week every day gets worse",2026-02-26,2,9.1.24.1739,-0.8306,0.093,0.736,0.17,Negative,0.9153,"App Crashes / Freezing, Audio / Playback Issues, Subscription / Pricing, Notifications, Feature Requests"
ad15a540-cf2e-448a-bd07-0d22767eb935,Google Play,Spotify,Joshdan Chilare,1.0,9.1.24.1739,what happened to sort playlist?,2026-02-26,3,9.1.24.1739,0.0,0.0,1.0,0.0,Neutral,1.0,"Audio / Playback Issues, Search Functionality"
b1cbf186-661e-49e8-910a-1dc685c8917b,Google Play,Spotify,Abdel rahman Nasser,3.0,9.1.24.1739,kosom el ads,2026-02-26,1,9.1.24.1739,0.0,0.0,1.0,0.0,Neutral,1.0,General Feedback
fb2f7f75-8d37-45f3-a494-d813916185f0,Google Play,Spotify,Offer Richelle,2.0,9.1.24.1739,dont like ya,2026-02-26,2,9.1.24.1739,-0.2755,0.0,0.587,0.413,Negative,0.6378,General Feedback
8e834123-5518-441d-95e0-90f06a901723,Google Play,Spotify,Kimo,4.0,9.1.16.1450,3 months trial plus one month paid equals a dime a day juke box. Perfect to get through the holidays without ads.,2026-02-26,0,9.1.16.1450,0.743,0.231,0.769,0.0,Positive,0.8715,General Feedback
0933cb0c-e035-4a84-8f6d-aea9cdd57d12,Google Play,Spotify,Ol Ga,5.0,9.1.22.1630,Excellent audio immense music catalog!,2026-02-26,0,9.1.22.1630,0.6114,0.444,0.556,0.0,Positive,0.8057,Audio / Playback Issues
025eab6e-440a-4af8-a10c-f3cbd9570b41,Google Play,Spotify,Kimberley Sobjack,5.0,9.1.24.1739,I Really like listening to spotify,2026-02-26,1,9.1.24.1739,0.4201,0.318,0.682,0.0,Positive,0.71,General Feedback
0d9dcde3-599c-4fb6-8de9-d21494eaa8d5,Google Play,Spotify,Anitha Anitha,5.0,9.1.22.1630,nice music sound and all old and new songs,2026-02-26,0,9.1.22.1630,0.4215,0.237,0.763,0.0,Positive,0.7107,Audio / Playback Issues
0cd60cdb-429e-4271-942d-392e4a8a4701,Google Play,Spotify,Kerry Langel,1.0,9.1.22.1630,Supports ICE and costs moneyss,2026-02-26,6,9.1.22.1630,0.3612,0.333,0.667,0.0,Positive,0.6806,"Subscription / Pricing, Customer Support"
47b94123-b8e3-4173-9535-15f759516e6c,Google Play,Spotify,Maria Pablo,5.0,9.1.24.1739,"I love Spotify, it's the best",2026-02-26,1,9.1.24.1739,0.8555,0.627,0.373,0.0,Positive,0.9278,General Feedback
3905b553-7830-4c7b-baa3-e3ee52165d94,Google Play,Spotify,The Viking,3.0,9.1.24.1739,great selection of music but way too many ads and premium is kind of expensive,2026-02-26,2,9.1.24.1739,0.3716,0.145,0.855,0.0,Positive,0.6858,"Audio / Playback Issues, Subscription / Pricing"
